row_long,DUP_ID,kingdom,phylum,class,order,family,genus,species,site,replicate_ltr,replicate_num,count,date
112,OTU_973,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,c,NA,7,2015-04-01
113,OTU_1051,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori,MR,c,NA,36,2015-04-01
114,OTU_1124,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,c,NA,12,2015-04-01
115,OTU_1153,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,c,NA,1,2015-04-01
116,OTU_1254,Eukaryota,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Pseudopterogorgia,Pseudopterogorgia,MR,c,NA,1,2015-04-01
117,OTU_2853,Eukaryota,Haptophyceae,Haptophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii,MR,c,NA,6,2015-04-01
118,OTU_6016,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,c,NA,4,2015-04-01
119,OTU_7271,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,c,NA,1,2015-04-01
120,OTU_7848,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus prasinos,MR,c,NA,3,2015-04-01
121,OTU_8018,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,c,NA,7,2015-04-01
122,OTU_37172,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas pusilla,MR,c,NA,1,2015-04-01
123,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,3271,2015-06-01
124,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,3002,2015-06-01
125,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,5279,2015-06-01
126,OTU_39,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia,Euconchoecia chierchiae,MR,a,NA,1,2015-06-01
127,OTU_45,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris,MR,a,NA,2,2015-06-01
128,OTU_298,Eukaryota,Arthropoda,Maxillopoda,Sessilia,unclassified Sessilia,unclassified Sessilia,Balanoidea sp. MM-2014,MR,a,NA,16,2015-06-01
129,OTU_894,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,134,2015-06-01
130,OTU_922,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,3,2015-06-01
131,OTU_973,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,a,NA,17,2015-06-01
132,OTU_1124,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,a,NA,16,2015-06-01
133,OTU_2761,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,7,2015-06-01
134,OTU_4464,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,4,2015-06-01
135,OTU_10512,Eukaryota,Nemertea,Anopla,Paleonemertea,Cephalothricidae,Cephalothrix,Cephalothrix sp. 15 HC-2011,MR,a,NA,10,2015-06-01
136,OTU_11835,Eukaryota,Porifera,Demospongiae,Verongida,Aplysinidae,Aiolochroia,Aiolochroia crassa,MR,a,NA,1,2015-06-01
137,OTU_12303,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,1,2015-06-01
138,OTU_13839,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,1,2015-06-01
139,OTU_14474,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,1,2015-06-01
140,OTU_14746,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,5,2015-06-01
141,OTU_16857,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,1,2015-06-01
142,OTU_19045,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,a,NA,2,2015-06-01
143,OTU_19167,Eukaryota,Arthropoda,Arachnida,Astigmata,Pyroglyphidae,Dermatophagoides,Dermatophagoides pteronyssinus,MR,a,NA,5,2015-06-01
144,OTU_33243,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,1,2015-06-01
145,OTU_48266,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,a,NA,1,2015-06-01
146,OTU_1,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus,MR,b,NA,6,2015-06-01
147,OTU_2,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,524,2015-06-01
148,OTU_9,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,436,2015-06-01
149,OTU_12,Eukaryota,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,MR,b,NA,173,2015-06-01
150,OTU_42,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Paracalanidae,Paracalanus,Paracalanus quasimodo,MR,b,NA,1,2015-06-01
151,OTU_45,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris,MR,b,NA,1387,2015-06-01
152,OTU_68,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,b,NA,2486,2015-06-01
153,OTU_142,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,b,NA,2,2015-06-01
154,OTU_181,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,b,NA,93,2015-06-01
155,OTU_298,Eukaryota,Arthropoda,Maxillopoda,Sessilia,unclassified Sessilia,unclassified Sessilia,Balanoidea sp. MM-2014,MR,b,NA,22,2015-06-01
156,OTU_944,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Acartiidae,Acartia,Acartia tonsa,MR,b,NA,6,2015-06-01
157,OTU_973,Eukaryota,Cercozoa,Cercozoa,Chlorarachniophyceae,Chlorarachniophyceae,Bigelowiella,Bigelowiella natans,MR,b,NA,10,2015-06-01
158,OTU_1595,Eukaryota,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,Balanus trigonus,MR,b,NA,60,2015-06-01
159,OTU_4464,Eukaryota,Haptophyceae,Haptophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,Emiliania huxleyi,MR,b,NA,1,2015-06-01
